Date,Open,High,Low,Close,Volume
2018-05-11,156.37767885725694,159.01967077081594,156.1443176780753,158.6112823486328,5355100
2018-05-14,159.60310886245122,159.7281192655285,158.23627334746212,159.25306701660156,7035900
2018-05-15,157.9362148429107,158.09456981075562,155.1025358640202,156.6693878173828,10147000
2018-05-16,157.7528678706734,157.7528678706734,154.93584828530095,155.33590698242188,5044800
2018-05-17,155.22759095396617,156.00268100855064,154.07744419711412,154.46083068847656,4227700
2018-05-18,154.81086005365083,156.86111983890808,154.64417526460383,156.20269775390625,4697900
2018-05-21,156.85277154695322,158.91136104468947,156.68608676405523,158.1779327392578,4147800
2018-05-22,158.40298903745824,159.00306452380477,155.45262849395093,155.74432373046875,4585600
2018-05-23,155.9359905466167,156.11934761317298,154.16909633409534,155.57760620117188,7387400
2018-05-24,155.6776082061253,156.19434751692532,153.91072678252115,155.97764587402344,3941300
2018-05-25,155.6109804970201,156.54442558335933,155.06090919232642,155.7276611328125,2730400
2018-05-29,154.64413783611806,155.71093548850308,153.56066789369325,154.1857452392578,4725500
2018-05-30,154.90652119307728,157.39568719686733,154.2192708512,156.80062866210938,3976000
2018-05-31,156.8593420360814,157.02696005861108,155.25856242578672,156.3480987548828,4839900
2018-06-01,156.9012360619026,158.25895855100788,156.3229430644143,157.01856994628906,3706200
2018-06-04,157.74769152450233,160.53018584394022,157.538165849094,160.37933349609375,4103300
2018-06-05,159.60827870133105,161.23419996986547,158.9880781054516,160.8654327392578,4231300
2018-06-06,161.81253249314238,162.2483367919922,160.25366059288726,162.2483367919922,4134700
2018-06-07,162.44944158208463,165.27384347936487,162.44944158208463,164.4105987548828,4378700
2018-06-08,164.15919346527932,166.3634079500652,163.43842453642682,166.22093200683594,4006200
2018-06-11,166.70703617408589,168.0563822353635,166.22931142485987,167.31884765625,4243000
2018-06-12,167.48649347759402,168.74364792525327,167.2099179644966,168.718505859375,4616700
2018-06-13,168.71008214166878,168.94474988304282,167.3355941757211,167.88035583496094,5128100
2018-06-14,167.83845644788866,168.45865710274973,166.07844830047222,167.34397888183594,4305900
2018-06-15,166.74053981185716,168.96151977584083,166.3633961314624,168.0731201171875,7820900
2018-06-18,166.732187768625,168.383251453172,166.0365608487225,168.19886779785156,3396300
2018-06-19,166.12034758814997,167.53673045826994,166.02815577639706,166.9584503173828,5501100
2018-06-20,167.6205709138572,167.72952837725032,166.04493345496786,166.84951782226562,3389600
2018-06-21,166.95845050482944,168.4083646472689,166.45558375135207,167.88035583496094,4695100
2018-06-22,168.2826536125907,168.6262788257871,165.24872560445127,165.4498748779297,6785800
2018-06-25,165.44985362664576,165.81023164168448,163.48030720733726,164.58660888671875,5127200
